participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.54","5","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:37:22.820Z","2025-04-15T14:37:26.002Z","3182","3182","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.54","5","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.54}","undefined","undefined","2025-04-15T14:37:22.820Z","2025-04-15T14:37:26.002Z","3182","3182","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.8","6","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:37:26.053Z","2025-04-15T14:37:28.001Z","1948","1948","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.8","6","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.8}","undefined","undefined","2025-04-15T14:37:26.053Z","2025-04-15T14:37:28.001Z","1948","1948","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.66","7","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:28.051Z","2025-04-15T14:37:31.171Z","3120","3120","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.66","7","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.66}","undefined","undefined","2025-04-15T14:37:28.051Z","2025-04-15T14:37:31.171Z","3120","3120","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.34","8","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:37:31.226Z","2025-04-15T14:37:34.313Z","3087","3087","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.34","8","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.34}","undefined","undefined","2025-04-15T14:37:31.226Z","2025-04-15T14:37:34.313Z","3087","3087","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.26","9","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:34.362Z","2025-04-15T14:37:41.053Z","6691","6691","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.26","9","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.26}","undefined","undefined","2025-04-15T14:37:34.362Z","2025-04-15T14:37:41.053Z","6691","6691","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.2","10","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:41.100Z","2025-04-15T14:37:46.181Z","5081","5081","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.2","10","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.2}","undefined","undefined","2025-04-15T14:37:41.100Z","2025-04-15T14:37:46.181Z","5081","5081","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.1","11","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:46.229Z","2025-04-15T14:37:47.857Z","1628","1628","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.1","11","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.1}","undefined","undefined","2025-04-15T14:37:46.229Z","2025-04-15T14:37:47.857Z","1628","1628","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.42","12","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:47.900Z","2025-04-15T14:37:52.880Z","4980","4980","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.42","12","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.42}","undefined","undefined","2025-04-15T14:37:47.900Z","2025-04-15T14:37:52.880Z","4980","4980","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.68","13","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:52.937Z","2025-04-15T14:38:05.726Z","12789","12789","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.68","13","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.68}","undefined","undefined","2025-04-15T14:37:52.937Z","2025-04-15T14:38:05.726Z","12789","12789","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.62","14","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:05.786Z","2025-04-15T14:38:11.547Z","5761","5761","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.62","14","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.62}","undefined","undefined","2025-04-15T14:38:05.786Z","2025-04-15T14:38:11.547Z","5761","5761","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.52","15","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:11.604Z","2025-04-15T14:38:17.915Z","6311","6311","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.52","15","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.52}","undefined","undefined","2025-04-15T14:38:11.604Z","2025-04-15T14:38:17.915Z","6311","6311","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.4","16","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:17.963Z","2025-04-15T14:38:19.769Z","1806","1806","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.4","16","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.4}","undefined","undefined","2025-04-15T14:38:17.963Z","2025-04-15T14:38:19.769Z","1806","1806","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.3","17","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:19.814Z","2025-04-15T14:38:21.849Z","2035","2035","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.3","17","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.3}","undefined","undefined","2025-04-15T14:38:19.814Z","2025-04-15T14:38:21.849Z","2035","2035","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.0","18","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:21.895Z","2025-04-15T14:38:24.056Z","2161","2161","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.0","18","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0}","undefined","undefined","2025-04-15T14:38:21.895Z","2025-04-15T14:38:24.056Z","2161","2161","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.32","19","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:24.106Z","2025-04-15T14:38:32.200Z","8094","8094","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.32","19","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.32}","undefined","undefined","2025-04-15T14:38:24.106Z","2025-04-15T14:38:32.200Z","8094","8094","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.9","20","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:32.248Z","2025-04-15T14:38:34.354Z","2106","2106","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.9","20","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.9}","undefined","undefined","2025-04-15T14:38:32.248Z","2025-04-15T14:38:34.354Z","2106","2106","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.26","21","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:34.399Z","2025-04-15T14:38:42.782Z","8383","8383","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.26","21","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.26}","undefined","undefined","2025-04-15T14:38:34.399Z","2025-04-15T14:38:42.782Z","8383","8383","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.7","22","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:42.834Z","2025-04-15T14:38:44.563Z","1729","1729","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.7","22","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.7}","undefined","undefined","2025-04-15T14:38:42.834Z","2025-04-15T14:38:44.563Z","1729","1729","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.2","23","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:44.611Z","2025-04-15T14:38:46.738Z","2127","2127","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.2","23","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.2}","undefined","undefined","2025-04-15T14:38:44.611Z","2025-04-15T14:38:46.738Z","2127","2127","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.46","24","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:38:46.786Z","2025-04-15T14:38:52.650Z","5864","5864","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.46","24","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.46}","undefined","undefined","2025-04-15T14:38:46.786Z","2025-04-15T14:38:52.650Z","5864","5864","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.74","25","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:52.698Z","2025-04-15T14:38:59.651Z","6953","6953","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.74","25","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.74}","undefined","undefined","2025-04-15T14:38:52.698Z","2025-04-15T14:38:59.651Z","6953","6953","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.8","26","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:38:59.703Z","2025-04-15T14:39:02.078Z","2375","2375","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.8","26","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.8}","undefined","undefined","2025-04-15T14:38:59.703Z","2025-04-15T14:39:02.078Z","2375","2375","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.6","27","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:39:02.138Z","2025-04-15T14:39:06.584Z","4446","4446","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.6","27","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.6}","undefined","undefined","2025-04-15T14:39:02.138Z","2025-04-15T14:39:06.584Z","4446","4446","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.66","28","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Left Image","undefined","undefined","2025-04-15T14:39:06.632Z","2025-04-15T14:39:14.681Z","8049","8049","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.66","28","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.66}","undefined","undefined","2025-04-15T14:39:06.632Z","2025-04-15T14:39:14.681Z","8049","8049","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.7","29","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:39:14.744Z","2025-04-15T14:39:16.855Z","2111","2111","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.7","29","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.7}","undefined","undefined","2025-04-15T14:39:14.744Z","2025-04-15T14:39:16.855Z","2111","2111","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.6","30","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:39:16.898Z","2025-04-15T14:39:19.528Z","2630","2630","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.6","30","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.6}","undefined","undefined","2025-04-15T14:39:16.898Z","2025-04-15T14:39:19.528Z","2630","2630","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.28","31","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:39:19.573Z","2025-04-15T14:39:25.633Z","6060","6060","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.28","31","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.28}","undefined","undefined","2025-04-15T14:39:19.573Z","2025-04-15T14:39:25.633Z","6060","6060","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.4","32","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:39:25.682Z","2025-04-15T14:39:30.476Z","4794","4794","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.4","32","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.4}","undefined","undefined","2025-04-15T14:39:25.682Z","2025-04-15T14:39:30.476Z","4794","4794","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.72","33","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:39:30.523Z","2025-04-15T14:39:35.608Z","5085","5085","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.72","33","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.72}","undefined","undefined","2025-04-15T14:39:30.523Z","2025-04-15T14:39:35.608Z","5085","5085","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.4","34","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:39:35.656Z","2025-04-15T14:39:37.663Z","2007","2007","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
